# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 31 13:05:25 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,sy_snum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
HAT-P-17 c,1,5.600000,3.500000,-1.400000,0,13.100,,,0,1080.60000,349.60000,-222.50000,0,0.390000,0.230000,-0.170000,0,0.84,0.04,-0.04,0,0.92,0.15,-0.08,0,0.051,0.028,-0.028,0
HAT-P-18 b,1,0.055900,0.000700,-0.000700,0,11.153,0.583,-0.583,0,62.61000,4.13200,-4.13200,0,0.084000,0.048000,-0.048000,0,0.75,0.04,-0.04,0,0.77,0.03,-0.03,0,0.100,0.080,-0.080,0
HAT-P-19 b,1,0.046600,0.000800,-0.000800,0,12.689,0.807,-0.807,0,92.80200,5.72100,-5.72100,0,0.067000,0.042000,-0.042000,0,0.82,0.05,-0.05,0,0.84,0.04,-0.04,0,0.230,0.080,-0.080,0
HAT-P-2 b,1,0.068140,0.000510,-0.000510,0,10.660,0.437,-0.594,0,2765.12100,60.38770,-63.56600,0,0.517200,0.001900,-0.001900,0,1.39,0.09,-0.09,0,1.33,0.03,-0.03,0,0.180,,,0
HAT-P-20 b,1,0.036100,0.000500,-0.000500,0,9.718,0.370,-0.370,0,2302.89900,59.43200,-59.43200,0,0.015000,0.005000,-0.005000,0,0.69,0.02,-0.02,0,0.76,0.03,-0.03,0,0.350,0.080,-0.080,0
HAT-P-21 b,1,0.049400,0.000700,-0.000700,0,12.442,1.793,-1.793,0,1547.83210,498.99310,-498.99310,0,0.230000,0.020000,-0.020000,0,1.21,0.17,-0.17,0,1.24,0.60,-0.60,0,0.010,,,0
HAT-P-22 b,2,0.041400,0.000500,-0.000500,0,12.890,2.130,-2.130,0,785.04010,101.70560,-101.70560,0,0.020000,0.010000,-0.010000,0,1.11,0.05,-0.05,0,1.13,0.22,-0.22,0,0.240,,,0
HAT-P-23 b,1,0.023200,0.000200,-0.000200,0,12.218,2.578,-2.578,0,425.89220,187.51970,-187.51970,0,0.110000,0.040000,-0.040000,0,0.96,0.20,-0.20,0,0.58,0.38,-0.38,0,0.150,,,0
HAT-P-24 b,2,0.046510,0.000550,-0.000560,0,14.572,2.354,-2.354,0,238.37250,79.45750,-79.45750,0,0.070000,0.020000,-0.020000,0,1.38,0.22,-0.22,0,1.37,0.69,-0.69,0,-0.160,,,0
HAT-P-25 b,1,0.046600,0.000810,-0.000800,0,12.722,0.538,-0.538,0,180.84527,7.31009,-6.99226,0,0.023000,0.022000,-0.014000,0,0.92,0.03,-0.03,0,1.01,0.05,-0.05,0,0.294,0.080,-0.080,0
HAT-P-26 b,1,0.047900,0.000600,-0.000600,0,7.062,0.448,-0.448,0,22.24810,6.35660,-6.35660,0,0.120000,0.060000,-0.060000,0,0.87,0.05,-0.05,0,1.12,0.36,-0.36,0,-0.040,,,0
HAT-P-27 b,2,0.040000,0.000800,-0.000800,0,11.430,0.780,-0.670,0,197.05000,9.53000,-9.53000,0,0.000000,,,0,0.86,0.05,-0.04,0,0.92,0.12,-0.10,0,0.300,0.030,-0.030,0
HAT-P-28 b,1,0.043400,0.000700,-0.000700,0,13.585,1.267,-0.919,0,198.95300,11.75900,-11.75900,0,0.051000,0.033000,-0.033000,0,1.10,0.09,-0.07,0,1.03,0.05,-0.05,0,0.120,0.080,-0.080,0
HAT-P-29 b,2,0.066700,0.000800,-0.000800,0,13.115,1.457,-1.457,0,279.69040,79.45750,-79.45750,0,0.090000,0.050000,-0.050000,0,1.30,0.14,-0.14,0,1.45,0.60,-0.60,0,0.210,,,0
HAT-P-3 b,2,0.038660,0.000410,-0.000410,0,10.536,0.785,-0.785,0,206.58950,34.96130,-34.96130,0,0.000000,,,0,0.87,0.06,-0.06,0,1.06,0.28,-0.28,0,0.270,,,0
HAT-P-30 b,2,0.041900,0.000460,-0.000460,0,16.141,1.681,-1.681,0,263.79890,57.20940,-57.20940,0,0.040000,0.020000,-0.020000,0,1.31,0.13,-0.13,0,1.55,0.51,-0.51,0,0.130,,,0
HAT-P-31 b,1,0.061000,0.001300,-0.001100,0,12.218,1.681,-1.681,0,721.47410,266.97720,-266.97720,0,0.250000,0.000000,0.000000,0,1.39,0.11,-0.11,0,1.31,0.73,-0.73,0,0.150,,,0
HAT-P-32 b,2,0.033970,0.000510,-0.000500,0,22.194,0.504,-0.504,0,216.12440,34.96130,-31.78300,0,0.159000,0.051000,-0.028000,0,1.37,0.03,-0.03,0,1.13,0.05,-0.05,0,-0.160,0.080,-0.080,0
HAT-P-33 b,2,0.049950,0.000480,-0.000490,0,20.737,5.492,-5.492,0,292.40360,158.91500,-158.91500,0,0.000000,,,0,1.79,0.48,-0.48,0,1.82,1.45,-1.45,0,0.050,,,0
HAT-P-34 b,1,0.067740,0.000740,-0.000760,0,13.417,1.457,-1.031,0,1058.37390,66.74430,-63.56600,0,0.432000,0.029000,-0.027000,0,1.53,0.14,-0.10,0,1.39,0.05,-0.05,0,0.220,0.040,-0.040,0
HAT-P-35 b,3,0.049780,0.000640,-0.000660,0,14.930,1.098,-1.098,0,335.62848,10.48839,-10.48839,0,0.020000,,,1,1.44,0.08,-0.08,0,1.24,0.05,-0.05,0,0.110,0.080,-0.080,0
HAT-P-36 b,1,0.024100,0.000470,-0.000470,0,14.314,0.224,-0.224,0,587.41341,27.65121,-27.65121,0,0.063000,0.021000,-0.023000,0,1.04,0.01,-0.01,0,1.03,0.03,-0.03,0,0.250,0.090,-0.090,0
HAT-P-37 b,1,0.037900,0.000600,-0.000600,0,13.204,0.863,-0.863,0,371.52800,32.73500,-32.73500,0,0.058000,0.038000,-0.038000,0,0.88,0.06,,0,0.93,0.04,,0,0.030,0.100,-0.100,0
HAT-P-38 b,1,0.052300,0.000900,-0.000900,0,9.247,1.031,-0.706,0,84.85700,6.35600,-6.35600,0,0.067000,0.047000,-0.047000,0,0.92,0.10,,0,0.89,0.04,,0,0.060,0.100,-0.100,0
HAT-P-39 b,2,0.050900,0.000600,-0.000600,0,17.609,1.211,-0.908,0,190.37200,31.46400,-31.46400,0,0.000000,,,0,1.62,0.08,,0,1.40,0.05,,0,0.190,0.100,-0.100,0
HAT-P-4 b,2,0.044380,0.000810,-0.001500,0,14.280,0.549,-0.673,0,213.25500,10.48800,-13.98400,0,0.000000,,,0,1.62,0.06,-0.05,0,0.56,0.07,-0.07,0,0.240,0.080,-0.080,0
HAT-P-40 b,1,0.060800,0.000600,-0.001500,0,17.038,1.906,-1.906,0,152.55840,41.31790,-41.31790,0,0.000000,,,0,1.94,0.22,-0.22,0,1.03,0.40,-0.40,0,0.220,,,0
HAT-P-41 b,2,0.042580,0.000470,-0.000480,0,22.978,5.605,-5.605,0,378.21770,190.69800,-190.69800,0,0.000000,,,0,2.05,0.50,-0.50,0,2.56,1.90,-1.90,0,0.210,,,0
HAT-P-42 b,1,0.057500,0.001100,-0.001100,0,14.348,1.715,-1.715,0,331.80100,26.37900,-26.37900,0,0.000000,,,0,1.53,0.14,-0.14,0,1.18,0.07,-0.07,0,0.270,0.080,-0.080,0
HAT-P-43 b,1,0.044400,0.002100,-0.002100,0,13.630,0.640,-0.630,0,210.39500,19.06900,-19.06900,0,0.210000,,,1,1.08,0.05,-0.05,0,1.03,0.04,-0.04,0,0.200,0.070,-0.070,0
HAT-P-44 b,1,0.050700,0.000700,-0.000700,0,13.922,1.188,-0.572,0,111.87100,9.21700,-9.21700,0,0.044000,0.052000,-0.052000,0,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,0.330,0.100,-0.100,0
HAT-P-44 c,1,1.752000,0.025000,-0.025000,0,13.000,,,0,1271.30000,444.90000,-254.30000,0,0.494000,0.081000,-0.081000,0,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,0.330,0.100,-0.100,0
HAT-P-45 b,1,0.045200,0.000700,-0.000700,0,15.984,1.962,-0.975,0,283.49200,43.54100,-31.46400,0,0.049000,0.063000,-0.063000,0,1.32,0.15,-0.07,0,1.26,0.06,-0.06,0,0.070,0.100,-0.100,0
HAT-P-46 b,1,0.057700,0.001400,-0.000900,0,14.392,3.038,-1.491,0,156.68400,26.06100,-16.52600,0,0.123000,0.120000,-0.120000,0,1.40,0.29,-0.14,0,1.28,0.10,-0.06,0,0.300,0.100,-0.100,0
HAT-P-49 b,1,0.043780,0.000480,-0.000490,0,17.822,2.018,-2.018,0,699.22600,187.51970,-187.51970,0,0.000000,,,0,2.06,0.23,-0.23,0,2.22,0.83,-0.83,0,0.070,,,0
HAT-P-5 b,1,0.040730,0.000500,-0.000930,0,13.563,1.121,-1.121,0,311.47340,63.56600,-63.56600,0,0.000000,,,0,1.12,0.09,-0.09,0,1.04,0.29,-0.29,0,0.240,,,0
HAT-P-50 b,1,0.045300,0.000580,-0.001400,0,14.437,0.717,-0.717,0,429.07050,23.20159,-23.20159,0,0.115000,,,1,1.70,0.07,-0.07,0,1.27,0.05,-0.12,0,-0.180,0.080,-0.080,0
HAT-P-51 b,1,0.050690,0.000490,-0.000490,0,14.493,0.605,-0.605,0,98.20947,5.72094,-5.72094,0,0.123000,,,1,1.04,0.04,-0.03,0,0.98,0.03,-0.03,0,0.270,0.080,-0.080,0
HAT-P-52 b,1,0.036940,0.000380,-0.000380,0,11.310,0.807,-0.807,0,259.98494,9.21707,-9.21707,0,0.047000,,,1,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,0.280,0.080,-0.080,0
HAT-P-53 b,1,0.031590,0.000420,-0.000420,0,14.773,1.020,-1.020,0,471.65972,17.79848,-17.79848,0,0.134000,,,1,1.21,0.08,-0.06,0,1.09,0.04,-0.04,0,0.000,0.080,-0.080,0
HAT-P-54 b,1,0.041170,0.000430,-0.000430,0,10.581,0.314,-0.314,0,241.55080,10.17056,-10.17056,0,0.074000,,,1,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,-0.127,0.080,-0.080,0
HAT-P-55 b,1,0.046040,0.000560,-0.000560,0,13.249,0.616,-0.616,0,184.97706,17.79848,-17.79848,0,0.139000,,,1,1.01,0.04,-0.04,0,1.01,0.04,-0.04,0,-0.030,0.080,-0.080,0
HAT-P-56 b,1,0.042300,0.000390,-0.000390,0,16.926,1.233,-1.233,0,734.18730,139.84520,-139.84520,0,0.290000,,,1,1.47,0.11,-0.11,0,1.42,0.33,-0.33,0,0.000,,,0
HAT-P-57 b,3,0.040600,0.001100,-0.001100,0,19.504,4.035,-4.035,0,448.14030,483.10160,-483.10160,0,0.000000,,,0,1.85,0.39,-0.39,0,2.77,1.74,-1.74,0,-0.250,,,0
HAT-P-58 b,1,0.049940,0.000440,-0.000440,0,14.930,0.482,-0.482,0,118.23217,9.53485,-9.53485,0,0.073000,,,1,1.53,0.03,-0.03,0,1.03,0.03,-0.03,0,-0.224,0.057,-0.057,0
HAT-P-59 b,1,0.050640,0.000370,-0.000370,0,12.588,0.146,-0.146,0,489.45575,21.29450,-21.29450,0,0.030000,,,1,1.10,0.01,-0.01,0,1.01,0.02,-0.02,0,0.217,0.049,-0.049,0
HAT-P-6 b,1,0.052390,0.000800,-0.000820,0,16.589,1.681,-1.681,0,419.53560,95.34900,-95.34900,0,0.000000,,,0,1.62,0.17,-0.17,0,1.79,0.60,-0.60,0,-0.130,,,0
HAT-P-60 b,1,0.062770,0.000170,-0.000170,0,18.282,0.269,-0.269,0,182.43351,12.07748,-12.07748,0,0.250000,,,1,2.20,0.03,-0.02,0,1.44,0.01,-0.01,0,0.037,0.037,-0.037,0
HAT-P-61 b,1,0.030100,0.000340,-0.000340,0,10.077,0.303,-0.303,0,335.94463,22.24799,-22.24799,0,0.113000,,,1,0.94,0.01,-0.01,0,1.00,0.03,-0.03,0,0.194,0.060,-0.060,0
HAT-P-62 b,1,0.037720,0.000240,-0.000240,0,12.027,0.325,-0.325,0,241.86742,27.96890,-27.96890,0,0.101000,,,1,1.17,0.02,-0.02,0,1.02,0.02,-0.02,0,0.414,0.090,-0.090,0
HAT-P-63 b,1,0.042940,0.000350,-0.000350,0,12.543,0.370,-0.370,0,195.14664,7.62788,-7.62788,0,0.069000,,,1,0.97,0.01,-0.01,0,0.93,0.02,-0.02,0,0.251,0.061,-0.061,0
HAT-P-64 b,1,0.053870,0.000300,-0.000300,0,19.089,0.785,-0.785,0,184.34048,57.20911,-41.31769,0,0.101000,,,1,1.74,0.04,-0.03,0,1.30,0.02,-0.02,0,-0.113,0.027,-0.056,0
HAT-P-65 b,1,0.039510,0.000540,-0.000540,0,21.185,1.457,-1.457,0,167.49641,26.37989,-26.37989,0,0.304000,,,1,1.86,0.10,-0.10,0,1.21,0.05,-0.05,0,0.100,0.080,-0.080,0
HAT-P-66 b,1,0.043630,0.001210,-0.000640,0,17.822,1.793,-1.121,0,248.86089,18.11631,-18.11631,0,0.090000,,,1,1.88,0.15,-0.10,0,1.26,0.11,-0.05,0,0.035,0.080,-0.080,0
HAT-P-67 b,2,0.065050,0.002730,-0.000790,0,23.371,1.076,-0.796,0,108.06220,79.45750,-60.38770,0,0.000000,,,0,2.55,0.10,-0.08,0,1.64,0.15,-0.07,0,-0.080,0.050,-0.050,0
HAT-P-68 b,1,0.029960,0.000430,-0.000120,0,12.016,0.135,-0.135,0,230.10892,13.66669,-13.66669,0,0.041000,,,1,0.67,0.00,0.00,0,0.68,0.03,-0.01,0,-0.059,0.036,-0.036,0
HAT-P-69 b,1,0.065550,0.000700,-0.000350,0,18.786,0.572,-0.370,0,1137.83140,184.34140,-184.34140,0,0.000000,,,0,1.93,0.06,-0.03,0,1.65,0.06,-0.03,0,-0.069,0.058,-0.075,0
HAT-P-7 b,2,0.036760,0.000190,-0.000190,0,16.926,2.354,-2.354,0,584.80720,168.44990,-168.44990,0,0.000000,,,0,2.00,0.28,-0.28,0,1.56,0.68,-0.68,0,0.260,,,0
HAT-P-70 b,1,0.047390,0.000310,-0.001060,0,20.961,1.681,-1.121,0,2154.88740,,,0,0.000000,,,0,1.86,0.12,-0.09,0,1.89,0.01,-0.01,0,-0.059,0.075,-0.088,0
HAT-P-8 b,3,0.044960,0.000460,-0.000450,0,15.693,1.457,-1.457,0,406.82240,85.81410,-85.81410,0,0.000000,,,0,1.57,0.15,-0.15,0,1.27,0.41,-0.41,0,0.010,,,0
HAT-P-9 b,1,0.052870,0.000780,-0.000780,0,15.614,0.751,-0.729,0,238.05467,20.34112,-20.02329,0,0.084000,0.052000,-0.047000,0,1.34,0.07,-0.06,0,1.28,0.06,-0.06,0,0.120,0.200,-0.200,0
HATS-1 b,1,0.044400,0.000800,-0.000800,0,14.594,1.816,-1.098,0,589.55000,83.26800,-62.29200,0,0.120000,0.092000,-0.092000,0,1.04,0.13,,0,0.99,0.05,,0,0.060,0.120,-0.120,0
HATS-10 b,1,0.044910,0.000740,-0.000740,0,10.862,0.684,-0.504,0,167.17858,25.74423,-25.74423,0,0.501000,,,1,1.10,0.06,-0.04,0,1.10,0.05,-0.05,0,0.150,0.100,-0.100,0
HATS-11 b,1,0.050700,0.001200,-0.001200,0,18.030,0.720,-0.720,0,263.79890,31.78300,-31.78300,0,0.340000,,,1,1.54,0.06,-0.06,0,1.33,0.09,-0.09,0,0.030,0.160,-0.160,0
HATS-12 b,1,0.044100,0.000500,-0.000500,0,7.760,0.470,-0.470,0,759.61370,27.65121,-27.65121,0,0.085000,,,1,1.17,0.07,-0.07,0,1.16,0.04,-0.04,0,-0.100,0.050,-0.050,0
HATS-13 b,1,0.040570,0.000410,-0.000410,0,13.585,0.392,-0.392,0,172.58169,22.88376,-22.88376,0,0.181000,,,1,0.89,0.02,-0.02,0,0.96,0.03,-0.03,0,0.050,0.060,-0.060,0
HATS-14 b,1,0.038150,0.000320,-0.000320,0,11.646,0.359,-0.247,0,340.39593,22.24810,-22.24810,0,0.142000,,,1,0.93,0.02,-0.02,0,0.97,0.02,-0.02,0,0.330,0.060,-0.060,0
HATS-15 b,1,0.027120,0.000230,-0.000230,0,12.386,0.448,-0.448,0,689.69110,47.67450,-47.67450,0,0.126000,,,1,0.92,0.03,-0.03,0,0.87,0.02,-0.02,0,0.000,0.050,-0.050,0
HATS-16 b,1,0.037440,0.000450,-0.000450,0,14.572,1.681,-1.681,0,1039.30410,60.38770,-60.38770,0,0.000000,,,1,1.24,0.10,-0.13,0,0.97,0.04,-0.04,0,-0.100,0.050,-0.050,0
HATS-17 b,1,0.130800,0.001200,-0.001200,0,8.709,0.628,-0.628,0,425.25654,20.65895,-20.65895,0,0.029000,0.022000,-0.022000,0,1.09,0.07,-0.05,0,1.13,0.03,-0.03,0,0.300,0.030,-0.030,0
HATS-18 b,1,0.017400,0.000980,-0.000980,0,14.897,0.841,-0.841,0,629.14449,24.15508,-24.15508,0,0.166000,,,0,1.02,0.06,-0.03,0,1.04,0.05,-0.05,0,0.280,0.080,-0.080,0
HATS-2 b,1,0.023000,0.000300,-0.000300,0,13.092,0.336,-0.336,0,427.46300,47.67200,-47.67200,0,0.000000,,,0,0.90,0.02,-0.02,0,0.88,0.04,-0.04,0,0.150,0.050,-0.050,0
HATS-22 b,1,0.050250,0.000420,-0.000420,0,10.682,0.538,-0.325,0,870.85420,34.96130,-34.96130,0,0.079000,0.026000,-0.026000,0,0.69,0.03,-0.02,0,0.76,0.02,-0.02,0,0.000,0.040,-0.040,0
HATS-23 b,1,0.033970,0.000470,-0.000470,0,20.849,3.363,-4.484,0,467.21010,22.88376,-22.88376,0,0.114000,,,1,1.20,0.06,-0.08,0,1.12,0.05,-0.05,0,0.280,0.070,-0.070,0
HATS-24 b,1,0.023800,0.001000,-0.001000,0,15.637,0.639,-0.639,0,718.29580,54.03110,-54.03110,0,0.000000,,,0,1.12,0.04,-0.05,0,1.07,0.03,-0.05,0,-0.229,0.058,-0.058,0
HATS-25 b,1,0.051630,0.000600,-0.000600,0,14.123,1.121,-1.121,0,194.82979,13.34886,-13.34886,0,0.176000,,,1,1.11,0.07,-0.07,0,0.99,0.04,-0.04,0,0.020,0.050,-0.050,0
HATS-26 b,1,0.047350,0.001330,-0.000680,0,19.616,2.354,-2.354,0,206.58950,24.15508,-24.15508,0,0.245000,,,1,2.04,0.15,-0.11,0,1.30,0.11,-0.06,0,-0.020,0.050,-0.050,0
HATS-27 b,1,0.061100,0.000680,-0.000680,0,16.814,2.242,-1.233,0,168.44990,41.31790,-41.31790,0,0.581000,,,1,1.74,0.17,-0.10,0,1.42,0.05,-0.05,0,0.090,0.040,-0.040,0
HATS-28 b,1,0.041310,0.000530,-0.000530,0,13.384,0.785,-0.785,0,213.58176,27.65121,-27.65121,0,0.202000,,,1,0.92,0.04,-0.04,0,0.93,0.04,-0.04,0,0.010,0.060,-0.060,0
HATS-29 b,1,0.054750,0.000880,-0.000880,0,14.022,0.684,-0.684,0,207.54299,20.02329,-20.02329,0,0.158000,,,1,1.07,0.04,-0.04,0,1.03,0.05,-0.05,0,0.160,0.080,-0.080,0
HATS-3 b,1,0.048500,0.000400,-0.000600,0,15.480,0.392,-0.392,0,340.38200,43.22300,-43.22300,0,0.000000,,,0,1.40,0.03,-0.03,0,1.21,0.04,-0.04,0,-0.157,0.070,-0.070,0
HATS-30 b,2,0.043540,0.000420,-0.000420,0,13.171,0.583,-0.583,0,224.38798,12.39537,-12.39537,0,0.096000,,,1,1.06,0.04,-0.04,0,1.09,0.03,-0.03,0,0.060,0.050,-0.050,0
HATS-31 b,1,0.047800,0.001200,-0.001200,0,18.383,2.466,-2.466,0,279.69040,38.13960,-38.13960,0,0.233000,,,1,1.87,0.18,-0.18,0,1.27,0.10,-0.10,0,0.000,0.070,-0.070,0
HATS-32 b,1,0.040240,0.000530,-0.000530,0,14.000,1.614,-1.076,0,292.40360,31.78300,-31.78300,0,0.471000,,,1,1.10,0.10,-0.06,0,1.10,0.04,-0.04,0,0.390,0.050,-0.050,0
HATS-33 b,1,0.037270,0.000370,-0.000370,0,13.787,1.255,-0.908,0,378.85336,16.84499,-16.84499,0,0.080000,,,1,1.02,0.05,-0.04,0,1.06,0.03,-0.03,0,0.290,0.050,-0.050,0
HATS-34 b,1,0.031660,0.000340,-0.000340,0,16.029,2.130,-2.130,0,299.07803,22.88376,-22.88376,0,0.108000,,,1,0.98,0.05,-0.05,0,0.96,0.03,-0.03,0,0.250,0.070,-0.070,0
HATS-35 b,1,0.031990,0.000330,-0.000330,0,16.410,0.773,-0.493,0,388.38826,24.79074,-24.79074,0,0.306000,,,1,1.43,0.06,-0.04,0,1.32,0.04,-0.04,0,0.210,0.060,-0.060,0
HATS-36 b,1,0.052300,0.000600,-0.000600,0,12.920,0.380,-0.380,0,1022.14128,19.70546,-19.70546,0,0.105000,0.028000,-0.028000,0,1.10,0.03,-0.03,0,1.10,0.04,-0.04,0,0.150,0.060,-0.060,0
HATS-37 A b,2,0.049130,0.000330,-0.000230,0,6.793,0.179,-0.179,0,31.46517,13.34886,-13.34886,0,0.000000,,,0,0.88,0.02,-0.01,0,0.84,0.02,-0.01,0,0.051,0.029,-0.029,0
HATS-38 b,1,0.050360,0.000300,-0.000230,0,6.882,0.191,-0.191,0,23.51942,3.49613,-3.49613,0,0.000000,,,0,1.10,0.02,-0.02,0,0.89,0.02,-0.01,0,-0.102,0.043,-0.043,0
HATS-39 b,1,0.060070,0.000580,-0.000580,0,17.598,1.345,-1.345,0,200.23290,41.31790,-41.31790,0,0.275000,,,1,1.62,0.09,-0.09,0,1.38,0.04,-0.04,0,0.000,0.044,-0.044,0
HATS-4 b,1,0.036200,0.000200,-0.000200,0,11.433,0.415,-0.415,0,420.47100,8.89900,-8.89900,0,0.013000,0.016000,-0.016000,0,0.93,0.02,-0.02,0,1.00,0.02,-0.02,0,0.430,0.080,-0.080,0
HATS-40 b,1,0.049970,0.000740,-0.000740,0,17.710,1.793,-1.345,0,505.34970,76.27920,-76.27920,0,0.312000,,,1,2.26,0.18,-0.11,0,1.56,0.07,-0.07,0,0.010,0.077,-0.077,0
HATS-41 b,1,0.058300,0.001500,-0.001000,0,14.908,3.251,-2.242,0,3082.95100,508.52800,-508.52800,0,0.380000,0.110000,-0.110000,0,1.71,0.36,-0.24,0,1.50,0.12,-0.08,0,0.470,0.041,-0.041,0
HATS-42 b,1,0.036890,0.000650,-0.000650,0,15.693,2.802,-1.569,0,597.52040,47.67450,-47.67450,0,0.229000,,,1,1.48,0.20,-0.12,0,1.27,0.07,-0.07,0,0.220,0.070,-0.070,0
HATS-43 b,1,0.049440,0.000460,-0.000460,0,13.227,0.560,-0.560,0,82.95363,17.16282,-17.16282,0,0.173000,0.089000,-0.089000,0,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0,0.050,0.041,-0.041,0
HATS-44 b,1,0.036490,0.000300,-0.000300,0,11.960,1.401,-0.796,0,177.98480,34.96130,-34.96130,0,0.279000,,,1,0.85,0.04,-0.04,0,0.86,0.02,-0.02,0,0.320,0.071,-0.071,0
HATS-45 b,1,0.055110,0.000690,-0.000690,0,14.415,1.042,-1.042,0,222.48100,47.67450,-47.67450,0,0.240000,,,1,1.32,0.06,-0.06,0,1.27,0.05,-0.05,0,0.020,0.068,-0.068,0
HATS-46 b,1,0.053670,0.000530,-0.000530,0,10.122,0.650,-0.504,0,54.98459,19.70546,-19.70546,0,0.559000,,,1,0.85,0.04,-0.03,0,0.92,0.03,-0.03,0,-0.060,0.046,-0.046,0
HATS-47 b,1,0.042690,0.000330,-0.000250,0,12.520,0.157,-0.157,0,117.27927,9.85273,-6.67443,0,0.088000,,,1,0.66,0.01,-0.01,0,0.67,0.02,-0.01,0,-0.113,0.035,-0.035,0
HATS-48 A b,2,0.037690,0.000110,-0.000110,0,8.967,0.168,-0.168,0,77.23269,6.99226,-9.53490,0,0.162000,,,1,0.72,0.00,0.00,0,0.73,0.01,-0.01,0,0.186,0.051,-0.051,0
HATS-49 b,1,0.045150,0.000160,-0.000160,0,8.575,0.146,-0.146,0,112.19399,12.07754,-8.58141,0,0.071000,,,1,0.70,0.01,-0.01,0,0.71,0.01,-0.01,0,0.208,0.053,-0.053,0
HATS-5 b,1,0.054200,0.000600,-0.000600,0,10.223,0.280,-0.280,0,75.32300,3.81400,-3.91400,0,0.019000,0.019000,-0.019000,0,0.87,0.02,-0.02,0,0.94,0.03,-0.03,0,0.190,0.080,-0.080,0
HATS-50 b,1,0.050460,0.000600,-0.000600,0,12.666,0.841,-0.841,0,123.95370,31.78300,-31.78300,0,0.516000,,,1,1.12,0.06,-0.06,0,1.17,0.04,-0.04,0,,,,
HATS-51 b,1,0.046390,0.000770,-0.000770,0,15.805,2.130,-2.130,0,244.09344,14.30235,-14.30235,0,0.330000,,,1,1.44,0.18,-0.18,0,1.19,0.06,-0.06,0,,,,
HATS-52 b,1,0.024980,0.000400,-0.000400,0,15.491,0.964,-0.964,0,711.93920,47.67450,-47.67450,0,0.246000,,,1,1.05,0.06,-0.06,0,1.11,0.05,-0.05,0,-0.284,0.081,-0.081,0
HATS-53 b,1,0.047530,0.000660,-0.000660,0,15.020,0.628,-0.628,0,189.10885,28.28687,-28.28687,0,0.330000,,,1,1.10,0.03,-0.02,0,0.96,0.04,-0.04,0,,,,
HATS-54 b,1,0.037630,0.000240,-0.000240,0,11.960,0.583,-0.583,0,241.55080,31.78300,-31.78300,0,0.126000,,,1,1.32,0.04,-0.04,0,1.10,0.02,-0.02,0,0.396,0.031,-0.031,0
